,programTitle,infoCat,region,url,description,organization,contact,page
72,['Alberta Clubroot Management Plan'],['Guides/Information'],[],['https://www.alberta.ca/alberta-clubroot-management-plan.aspx'],['\nAn overview of the clubroot disease and its incidence in Alberta and a description of management practices.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],2
73,['Alberta Conservation Association'],[],[],['https://www.ab-conservation.com/'],"['\nConserves, protects and enhances fish and wildlife populations and habitats in Alberta.\n']",['\nAlberta Conservation Association\n'],['\n1-877-969-9091\n\ninfo@ab-conservation.com\n\n'],2
74,['Alberta Crop Reports'],['Guides/Information'],[],['https://www.alberta.ca/alberta-crop-reports.aspx'],['\nWeekly and annual Alberta crop production reports.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],2
75,['Alberta Equestrian Federation'],[],[],['https://www.albertaequestrian.com/'],['\nSupports the equestrian industry in Alberta and provides opportunities for programs and education.\n'],['\nAlberta Equestrian Federation\n'],"['\nSuite 120, 251 Midpark Boulevard SE, Calgary, AB, T2X 1S3\n1-403-253-4411\n1-877-463-6233\n1-403-252-5260\n\ninfo@albertaequestrian.com\n\n']",2
76,['Alberta Farm Animal Care Association'],[],[],['https://www.afac.ab.ca/'],['\nWorks with producers to ensure they have everything they need to take care of their animals.\n'],['\nAlberta Farm Animal Care Association\n'],"['\nP.O. Box 36044 RPO Lakeview, Calgary, AB, T3E 7C6\n1-403-652-5111\n\nafac@afac.ab.ca\n\n\nhttps://www.afac.ab.ca/contact/\n\n']",2
77,['Alberta Farm Fertilizer Information and Recommendation Manager'],['Guides/Information'],[],['https://www.alberta.ca/alberta-farm-fertilizer-information-and-recommendation-manager.aspx'],['\nAlberta growers can use the online AFFIRM decision support tool to help optimize nutrient management for profitability.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naf.affirm@gov.ab.ca\n\n'],2
78,['Alberta Farm Fresh Producers Association'],[],[],['https://albertafarmfresh.com/'],"['\nAlberta Farm Fresh Producers Association is dedicated to supporting the production of farm direct market vegetable crops, berry and fruit crops, bedding plants, perennials, herbs, flowers, meats, poultry, eggs, wines, meads, and other specialty items in Alberta.\n']",['\nAlberta Farm Fresh Producers Association\n'],['\n403-964-3276\n\ninfo@albertafarmfresh.com\n\n\nhttps://albertafarmfresh.com/contact\n\n'],2
79,['Alberta Farm Fuel Benefit (AFFB)'],[],[],['https://www.alberta.ca/farm-fuel-and-rural-utility-programs.aspx#toc-0'],['\nProvides a fuel tax exemption to farmers in order to offer prices competitive with those paid by farmers in other parts of North America.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\n\naffb@gov.ab.ca\n\n1-780-427-5921\n1-780-422-9167\n'],2
80,"[""Alberta Farmers' Market Association""]",[],[],['http://www.albertafarmersmarket.com/'],['\nWorks with partners to strengthen the quality of farmers’ markets in Alberta.\xa0\n'],"[""\nAlberta Farmers' Market Association\n""]","['\nP.O. Box 69071, 13040-137 Avenue, Edmonton, AB, T5L 5E3\n1-780-265-2362\n\ninfo@albertafarmersmarket.com\n\n']",2
81,['Alberta Federation of Agriculture'],[],[],['http://www.afaonline.ca/'],['\nDevelops and advocates policy for Alberta procurers that promotes a sustainable agriculture industry.\n'],['\nAlberta Federation of Agriculture\n'],"['\n5033 - 52 Street, Lacombe, AB, T4L 2A6\n1-403-789-9151\n1-855-789-9151\n1-403-789-9152\n\ninfo@afaonline.ca\n\n']",2
82,['Alberta Food Directories'],['Guides/Information'],[],['https://www.alberta.ca/alberta-food-directories.aspx'],['\nConnecting Alberta-based food processors and producers with buyers to promote locally-produced food.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],2
83,['Alberta Food Processors Association'],[],[],['https://www.afpa.com/'],['\nRepresents all segments of the food and beverage industry in Alberta.\n'],['\nAlberta Food Processors Association\n'],"['\nc/o 5123 Marian Road NE Calgary, Alberta T2A 2Y\n1-403-201-3657\n1-403-201-2513\n\ninfo@afpa.com\n\n']",2
84,['Alberta Greenfeed and Silage Production Survey Results'],[],[],['https://open.alberta.ca/publications/5394227'],['\nAnnual survey of greenfeed and silage production figures on acreage and yield in Alberta.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],2
85,['Alberta Greenhouse Growers Association'],[],[],['https://agga.ca/'],['\nPromotes and strengthens the greenhouse industry in Alberta.\n'],['\nAlberta Greenhouse Growers Association\n'],"['\nValerie Stobbe\n18051-107 Avenue NW, Edmonton, AB, T5K 1K5\n1-780-489-1991\n1-780-444-2152\n']",2
86,['Alberta Honey Producers Co-operative'],['Guides/Information'],[],['https://www.beemaid.com/honey-producers/ab-honey-producers-coop/'],"['\nProvides information on honey, where to buy, and recipes.\n']",['\nAlberta Honey Producers Co-operative\n'],"['\nBox 3909, 70 Alberta Avenue, Spruce Grove, AB, T7X 3B1\n1-780-962-5573\n1-780-962-1653\n\nahp@beemaid.com\n\n']",2
87,['Alberta Innovates - Bio Sector Funding'],[],[],['https://albertainnovates.ca/focus-areas/agriculture-forestry-food/'],"[""\nProvides funding and support to researchers and companies of Alberta's agriculture, food and forest sectors.\n""]",['\nAlberta Innovates\n'],"['\n1500, 10104 – 103 Avenue Edmonton, Alberta T5J 0H8\n1-780-423-5727\n1-877-423-5727\n\nhttps://albertainnovates.ca/who-we-are/contact/\n\n']",2
88,['Alberta Insect Pest Monitoring Network'],['Guides/Information'],[],['https://www.alberta.ca/alberta-insect-pest-monitoring-network.aspx'],['\nTimely and accurate insect management information and resources for Alberta’s agricultural industry.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
89,['Alberta Institute of Agrologists'],[],[],['https://www.albertaagrologists.ca/index.html'],['\nRepresents and regulates agrologists in Alberta.\n'],['\nAlberta Institute of Agrologists\n'],"['\nSuite 1430, 5555 Calgary Trail NW, Edmonton, AB, T6H 5P9\n1-780-435-0606\n1-855-435-0606\n1-780-435-2155\n\ninfo@aia.ab.ca\n\n']",2
90,['Alberta Lamb Producers'],[],[],['https://www.ablamb.ca/'],"['\nPromotes the sheep industry through education, innovation and advocacy.\n']",['\nAlberta Lamb Producers\n'],"['\nAshley Scott\nAgriculture Centre, 97 East Lake Ramp NE, Airdrie, AB, T4A 0C3\n1-403-948-8533\n1-403-912-1455\n\ninfo@ablamb.ca\n\n']",2
91,['Alberta Land Trust Grant Program'],[],[],['https://www.alberta.ca/alberta-land-trust-grant-program.aspx'],['\nAlberta Land Trust Grant Program (ALTGP) grants are available to eligible land trust organizations. These grants help establish and administer new conservation easements on private land and/or administer new conservation projects on land trusts titled land.\n'],['\nAlberta Department of Agriculture and Forestry\n'],['\n1-780-427-3595\n\nlandtrust.grantprogram@gov.ab.ca\n\n'],2
92,['Alberta Milk'],[],[],['https://albertamilk.com/'],"[""\nRepresents Alberta's milk farmers.\n""]",['\nAlberta Milk\n'],"['\nLinda Likar\n', '\n1303-91 St SW Edmonton, Alberta Canada T6X 1H1\n1-780-455-2196\n1-780-453-5942\n1-877-361-1231\n']",2
93,['Alberta Organic Producers Association'],[],[],['http://www.albertaorganicproducers.org/'],"['\nProvides information on organic certification, organic products, and upcoming events.\n']",['\nAlberta Organic Producers Association\n'],"['\nKathy Petterson\n56424 Hwy 2, Sturgeon County, AB, T8R 0G9\n1-780-939-5808\n\naopapet@gmail.com\n\n']",2
94,['Alberta Organic Products Regulations'],['Guides/Information'],[],['https://www.alberta.ca/alberta-organic-products-regulations.aspx'],['\nNew requirements for organics will help increase consumer confidence that products labelled as organic are meeting a consistent and well-recognized standard.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],2
95,['Alberta Pork'],[],[],['https://www.albertapork.com/'],['\nRepresents pork producers in Alberta.\n'],['\nAlberta Pork\n'],"['\n4828 89 Street, Edmonton, AB, T6E 5K1\n1-780-474-8288\n1-780-479-5128\n\ninfo@albertapork.com\n\n']",2
96,['Alberta Seed Guide'],[],[],['https://www.seed.ab.ca/'],['\nAlberta Seed Guide is the farmers go-to source of variety and performance information.\n'],['\nAlberta Seed Growers Association\n'],['\n1-877-710-3222\n\nhttps://www.seed.ab.ca/contact-us/\n\n'],2
97,['Alberta Soil Information Viewer'],['Guides/Information'],[],['https://www.alberta.ca/alberta-soil-information-viewer.aspx'],"['\nUse this online, map-based decision-support tool to access selected soil data in Alberta’s agricultural region.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],2
98,['Alberta Soil Information – Resources'],['Guides/Information'],[],['https://www.alberta.ca/other-alberta-soil-resources.aspx'],"['\nGuides, maps, systems and reports related to soil quality, soil names, land suitability and landforms.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
99,['Alberta Water Well Information Database'],['Guides/Information'],[],['https://open.alberta.ca/opendata/alberta-water-well-information-database'],"['\nThe database contains information about individual water well drilling reports, chemical analysis reports.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
100,['Business Development Program'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/business-development-program-agriculture'],"['\nProvides funding for skills training, business planning and implementation, organizational development, benchmarking and risk management activities to expand domestic and international markets.\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n\nbusinessdevelopment@gov.pe.ca\n\n1-902-368-4857\n1-902-368-4880\n1-866-734-3276\n'],6
101,['Business Development Program - ACOA'],[],[],['https://www.canada.ca/en/atlantic-canada-opportunities/services/bdp.html'],"['\nThe BDP provides access to capital in the form of interest-free, unsecured, repayable contributions, to help you set up, expand or modernize your business.\n']",['\nAtlantic Canada Opportunities Agency\n'],['\n\nhttps://www.canada.ca/en/atlantic-canada-opportunities/corporate/contact-us.html\n\n\ninformation@acoa-apeca.gc.ca\n\n1-800-561-7862\n'],6
102,['Business Development Support Program'],[],[],['https://www.gov.nl.ca/iet/funding/business-development-support-program/'],['\nThe Business Development Support Program assists Newfoundland and Labrador small and medium sized enterprises with opportunities to increase their productivity and improve their competitiveness.\n'],"['\nDepartment of Tourism, Culture, Industry and Innovation\n']",['\n\ntcii@gov.nl.ca\n\n1-709-729-6123\n'],6
103,['Business Investment Program'],[],[],['https://www.gov.nl.ca/IET/funding/business-investment-program/'],"['\nThe Business Investment Program provides term loans and equity investments to small and medium-sized enterprises in strategic growth sectors as identified by Industry, Energy and Technology.\n']","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n', '\nDepartment of Tourism, Culture, Industry and Innovation\n']","['\n1-709-637-2081\n1-709-637-2586\n', '\n\ntcii@gov.nl.ca\n\n1-709-729-6123\n']",6
104,['Business Management'],['Guides/Information'],[],['http://www.gov.mb.ca/agriculture/farm-management/business-management/index.html'],['\nTopics and resources to help you structure and manage your business and create a strong foundation for growth and peace of mind.\n'],['\nManitoba Agriculture and Resource Development\n'],['\n\nagriculture@gov.mb.ca\n\n1-844-769-6224\n\nhttps://www.gov.mb.ca/agriculture/contact/\n\n'],6
105,['Business Plan Coaching'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/programs/agri-business-planning-program#Business-Plan-Coaching'],"[""\nUp to $3,000 for support from a Qualified Business Consultant to support B.C.'s agricultural entrepreneurs to further develop their business plan and improve business management skills.\n""]",['\nBritish Columbia Ministry of Agriculture\n'],['\n1-888-221-7141\n\nAgribusiness@gov.bc.ca\n\n'],6
106,['Business Plan and Development Guides'],['Guides/Information'],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/farm-business-management/business-plan-and-development-guides'],['\nUse these guides as tools to assist in your business planning and business development processes.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\nAgriculture Knowledge Centre\n1-306-694-3727\n1-866-457-2377\n1-306-694-3938\n'],6
107,['Business Planning'],['Guides/Information'],[],['https://www.princeedwardisland.ca/en/topic/business-planning'],"['\nOnce you have determined your business readiness and are satisfied that your business idea has potential to be profitable, you can create your business plan. It will be a necessary tool for getting the financial support to start your company and a valuable blueprint for operating your business.\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-314-1607\n1-866-734-3276\n'],6
108,['Business Planning for Nutrient Management'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/busresource.htm'],['\nBusiness planning identifies the best ways to meet the business goals of the farm owner and operator.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],6
